from_territory,to_territory,value
EGY,GZA,1215.2542628259125
GZA,GZA,491.25287671975866
ISR,GZA,146.9820133436543
ISR,ISR,89898.0185766591
ISR,JOR,0.0
ISR,WBK,476.5700932537967
JOR,ISR,0.0
JOR,JOR,28276.31724272364
JOR,WBK,290.89289451638365
WBK,ISR,0.0
WBK,JOR,0.0
WBK,WBK,6361.341446466419
