from_territory,to_territory,value
EGY,GZA,0.0
GZA,GZA,1853.4891528893256
ISR,GZA,0.0
ISR,ISR,89898.0185766591
ISR,JOR,0.0
ISR,WBK,0.0
JOR,ISR,0.0
JOR,JOR,28276.31724272364
JOR,WBK,0.0
WBK,ISR,0.0
WBK,JOR,0.0
WBK,WBK,7128.804434236599
