from_territory,to_territory,value
EGY,GZA,211.3227543892417
GZA,GZA,1642.166398500084
ISR,GZA,0.0
ISR,ISR,89898.0185766591
ISR,JOR,0.0
ISR,WBK,0.0
JOR,ISR,0.0
JOR,JOR,27409.0280851372
JOR,WBK,875.5656641386485
WBK,ISR,0.0
WBK,JOR,867.2891575864397
WBK,WBK,6253.238770097952
