from_territory,to_territory,value
EGY,GZA,1083.1824860040756
GZA,GZA,689.1987446880577
ISR,GZA,81.10792219719232
ISR,ISR,55028.89906849405
ISR,JOR,14052.09297103647
ISR,WBK,5823.8476916573245
JOR,ISR,34869.11950816505
JOR,JOR,14224.224271687168
JOR,WBK,1304.9567425792754
WBK,ISR,0.0
WBK,JOR,0.0
WBK,WBK,0.0
