,Israel,Jordan,West Bank,Gaza
0,4114.0,21421.613181194876,511.4913735368109,1229.9210579748715
1,4114.0,21421.613181194876,511.4913735368109,1229.9210579748715
2,4114.0,21932.05374814205,95.63424290948615,914.4222196186789
3,4114.0,21932.05374814205,95.63424290948615,914.4222196186789
4,4114.0,21932.05374814205,95.63424290948615,914.4222196186789
5,4114.0,21932.05374814205,95.63424290948615,914.4222196186789
6,4114.0,21932.05374814205,95.63424290948615,914.4222196186789
7,4114.0,21932.05374814205,95.63424290948615,914.4222196186789
8,4114.0,21932.05374814205,95.63424290948615,914.4222196186789
9,4114.0,21932.05374814205,95.63424290948615,914.4222196186789
10,4114.0,21421.61318120036,502.84487461690685,1229.9210530712312
11,4114.0,21421.61318120036,502.84487461690685,1229.9210530712312
12,4114.0,21964.65553943522,87.63927188026992,899.2756150960192
13,4114.0,21964.65553943522,87.63927188026992,899.2756150960192
14,4114.0,21964.65553943522,87.63927188026992,899.2756150960192
15,4114.0,21964.65553943522,87.63927188026992,899.2756150960192
16,4114.0,21964.65553943522,87.63927188026992,899.2756150960192
17,4114.0,21964.65553943522,87.63927188026992,899.2756150960192
18,4114.0,21964.65553943522,87.63927188026992,899.2756150960192
19,4114.0,21964.65553943522,87.63927188026992,899.2756150960192
20,4114.0,21421.6131811936,580.7260578090383,1229.9210574048252
21,4114.0,21421.6131811936,580.7260578090383,1229.9210574048252
22,4114.0,21421.6131811936,580.7260578090383,1229.9210574048252
23,4114.0,21421.613181194367,580.7260578090412,1229.9210574048252
24,4114.0,21421.613181194367,580.7260578090412,1229.9210574048252
25,4114.0,21668.310331266537,160.3703725644025,1043.91878456658
26,4114.0,21668.310331266537,160.3703725644025,1043.91878456658
27,4114.0,21668.310331266537,160.3703725644025,1043.91878456658
28,4114.0,21668.310331266537,160.3703725644025,1043.91878456658
29,4114.0,21668.310331266537,160.3703725644025,1043.91878456658
30,4114.0,21421.6131811936,580.7260578090383,1229.9210574048252
31,4114.0,21421.6131811936,580.7260578090383,1229.9210574048252
32,4114.0,21421.6131811936,580.7260578090383,1229.9210574048252
33,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
34,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
35,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
36,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
37,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
38,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
39,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
40,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
41,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
42,4114.0,21668.310317644868,160.37037256439,1043.9187891422534
43,13966.784681333971,13598.187855278744,755.3503980206134,2255.0723192561245
44,13966.784681333971,13598.187855278744,755.3503980206134,2255.0723192561245
45,13966.784681333971,13598.187855278744,755.3503980206134,2255.0723192561245
46,13966.784681333971,13598.187855278744,755.3503980206134,2255.0723192561245
47,12193.638904841031,13357.3355860384,2636.82019206363,2172.780118858325
48,12193.638904841031,13357.3355860384,2636.82019206363,2172.780118858325
49,12193.638904841031,13357.3355860384,2636.82019206363,2172.780118858325
50,4114.0,22224.2826242171,23.85719743828622,781.9283185266627
51,4114.0,22224.2826242171,23.85719743828622,781.9283185266627
52,4114.0,22224.2826242171,23.85719743828622,781.9283185266627
53,4114.0,22224.2826242171,23.85719743828622,781.9283185266627
54,4114.0,22224.2826242171,23.85719743828622,781.9283185266627
55,4114.0,22224.2826242171,23.85719743828622,781.9283185266627
56,4114.0,22224.2826242171,23.85719743828622,781.9283185266627
57,4114.0,22224.2826242171,23.85719743828622,781.9283185266627
58,4114.0,22224.2826242171,23.85719743828622,781.9283185266627
59,4114.0,21418.11832000975,434.5119175131454,1229.9210574048252
60,4114.0,21299.176588838203,686.2215407455333,1388.5825643609373
61,4114.0,21299.176588838203,686.2215407455333,1388.5825643609373
62,4114.0,21299.176588838203,686.2215407455333,1388.5825643609373
63,4114.0,21299.176588838203,686.2215407455333,1388.5825643609373
64,4114.0,21299.176588838203,686.2215407455333,1388.5825643609373
65,4114.0,21299.176588838203,686.2215407455333,1388.5825643609373
66,4114.0,21416.847396031873,258.65037325122364,1229.6291652624623
67,4114.0,21416.847396031873,258.65037325122364,1229.6291652624623
68,4114.0,21416.847396031873,258.65037325122364,1229.6291652624623
69,4114.0,21416.847396031873,258.65037325122364,1229.6291652624623
70,4114.0,21569.586418051607,184.9367249316614,1085.5941532463453
71,4114.0,21569.586418051607,184.9367249316614,1085.5941532463453
72,4114.0,21569.586418051607,184.9367249316614,1085.5941532463453
73,4114.0,21569.586418051607,184.9367249316614,1085.5941532463453
74,4114.0,21569.586418051607,184.9367249316614,1085.5941532463453
75,4114.0,21569.586418051607,184.9367249316614,1085.5941532463453
76,4114.0,21569.586418051607,184.9367249316614,1085.5941532463453
77,4114.0,21423.36062569088,606.8290025712199,1229.9210574048252
78,4114.0,21423.36062569088,606.8290025712199,1229.9210574048252
79,4114.0,21423.36062569088,606.8290025712199,1229.9210574048252
80,4114.0,21701.429017181283,152.20921322770073,1027.1231404160594
81,4114.0,21701.429017181283,152.20921322770073,1027.1231404160594
82,4114.0,21701.429017181283,152.20921322770073,1027.1231404160594
83,4114.0,21701.429017181283,152.20921322770073,1027.1231404160594
84,4114.0,21701.429017181283,152.20921322770073,1027.1231404160594
85,4114.0,21701.429017181283,152.20921322770073,1027.1231404160594
86,4114.0,21701.429017181283,152.20921322770073,1027.1231404160594
