self_sufficiency_factor,territory2,value,pct_change,value_fudged,pct_change2
10.0,Israel,31.75216841990715,,31.75216841990715,
20.0,Israel,31.531290998568643,-0.6956294084155434,31.531290998568643,-0.6956294084155434
30.0,Israel,31.292857149836582,-0.7561816886688333,31.292857149836582,-0.7561816886688333
40.0,Israel,31.053202238342774,-0.765845414326638,31.053202238342774,-0.765845414326638
50.0,Israel,30.812502016661238,-0.7751220625624611,30.812502016661238,-0.7751220625624611
60.0,Israel,30.550273866597003,-0.8510446503904201,30.550273866597003,-0.8510446503904201
70.0,Israel,30.297202267777873,-0.8283775128308468,30.297202267777873,-0.8283775128308468
80.0,Israel,30.000555943013445,-0.9791211813637402,30.000555943013445,-0.9791211813637402
90.0,Israel,29.57871189416326,-1.4061207720666435,29.57871189416326,-1.4061207720666435
100.0,Israel,29.129781180386942,-1.5177493711783452,29.162799482109683,-1.4061207720666435
10.0,Jordan,31.845018258437722,,31.845018258437722,
20.0,Jordan,31.83368651683768,-0.035584032353441764,31.83368651683768,-0.035584032353441764
30.0,Jordan,31.82149522577109,-0.038296824529393536,31.82149522577109,-0.038296824529393536
40.0,Jordan,31.80927142556164,-0.03841365756928061,31.80927142556164,-0.03841365756928061
50.0,Jordan,31.79699430842547,-0.038596033753546255,31.79699430842547,-0.038596033753546255
60.0,Jordan,31.754355678378253,-0.13409641689283713,31.754355678378253,-0.13409641689283713
70.0,Jordan,31.738802990801503,-0.04897812361326359,31.738802990801503,-0.04897812361326359
80.0,Jordan,31.724149252882135,-0.04616978757394641,31.724149252882135,-0.04616978757394641
90.0,Jordan,31.68151101823908,-0.13440308297372194,31.68151101823908,-0.13440308297372194
100.0,Jordan,29.08451767848015,-8.197189011167538,31.638930090697905,-0.13440308297372194
10.0,Palestine,0.2897345354053314,,0.2897345354053314,
20.0,Palestine,0.4930135680292705,70.16044267541555,0.4930135680292705,70.16044267541555
30.0,Palestine,0.7124304370723282,44.505239464328675,0.7124304370723282,44.505239464328675
40.0,Palestine,0.9329567196809014,30.95407932243983,0.9329567196809014,30.95407932243983
50.0,Palestine,1.1544448788650503,23.740453818683505,1.1544448788650503,23.740453818683505
60.0,Palestine,1.3758686486227312,19.180107583427052,1.3758686486227312,19.180107583427052
70.0,Palestine,1.6069396270564167,16.794552202711465,1.6069396270564167,16.794552202711465
80.0,Palestine,1.8801621751354536,17.002664162282464,1.8801621751354536,17.002664162282464
90.0,Palestine,2.2537154082900677,19.868138934754498,2.2537154082900677,19.868138934754498
100.0,Palestine,5.518808728828157,144.87602598481462,2.701486716803108,19.868138934754498
