technology,territory,self_sufficiency_factor,value,territory2
Solar,West Bank,40.0,0.0075,Palestine
Solar,West Bank,50.0,0.0075,Palestine
Solar,West Bank,60.0,0.0075,Palestine
Solar,West Bank,70.0,0.0075,Palestine
Solar,West Bank,80.0,0.0075,Palestine
Solar,West Bank,90.0,0.16386317521243657,Palestine
Solar,West Bank,100.0,1.198069884765333,Palestine
Wind,Israel,10.0,0.125,Israel
Wind,Israel,20.0,0.125,Israel
Wind,Israel,30.0,0.125,Israel
Wind,Israel,40.0,0.125,Israel
Wind,Israel,50.0,0.125,Israel
Wind,Israel,60.0,0.125,Israel
Wind,Israel,70.0,0.125,Israel
Wind,Israel,80.0,0.125,Israel
Wind,Israel,90.0,0.125,Israel
Wind,Israel,100.0,0.125,Israel
Wind,Jordan,10.0,0.28,Jordan
Wind,Jordan,20.0,0.28,Jordan
Wind,Jordan,30.0,0.28,Jordan
Wind,Jordan,40.0,0.28,Jordan
Wind,Jordan,50.0,0.28,Jordan
Wind,Jordan,60.0,0.28,Jordan
Wind,Jordan,70.0,0.28,Jordan
Wind,Jordan,80.0,0.28,Jordan
Wind,Jordan,90.0,0.2919078010076423,Jordan
Wind,Jordan,100.0,0.28,Jordan
Wind,West Bank,10.0,0.05,Palestine
Wind,West Bank,20.0,0.05,Palestine
Wind,West Bank,30.0,0.05,Palestine
Wind,West Bank,40.0,0.05,Palestine
Wind,West Bank,50.0,0.05,Palestine
Wind,West Bank,60.0,0.05,Palestine
Wind,West Bank,70.0,0.05,Palestine
Wind,West Bank,80.0,0.05,Palestine
Wind,West Bank,90.0,0.05,Palestine
Wind,West Bank,100.0,0.05,Palestine
