territory,technology,self_sufficiency_factor,value
Jordan,Shale,50.0,0.0
Jordan,Shale,60.0,0.0
Jordan,Shale,70.0,0.0
Jordan,Shale,80.0,0.0
Jordan,Shale,90.0,0.0
Jordan,Shale,100.0,0.0
Jordan,Solar,10.0,20423.626552892325
Jordan,Solar,20.0,20378.759426717188
Jordan,Solar,30.0,20330.32507651207
Jordan,Solar,40.0,20281.641987148483
Jordan,Solar,50.0,20232.74655525891
Jordan,Solar,60.0,20113.754325108323
Jordan,Solar,70.0,20056.396344503104
Jordan,Solar,80.0,19997.069752969783
Jordan,Solar,90.0,19863.398599298824
Jordan,Solar,100.0,17628.259745651976
Jordan,Wind,10.0,3761.3886632730396
Jordan,Wind,20.0,3796.812594767738
Jordan,Wind,30.0,3835.0876116305103
Jordan,Wind,40.0,3873.584200819551
Jordan,Wind,50.0,3912.2487017623166
Jordan,Wind,60.0,3995.7087402068883
Jordan,Wind,70.0,4040.1061478127226
Jordan,Wind,80.0,4087.22129109866
Jordan,Wind,90.0,4185.360582656667
Jordan,Wind,100.0,4256.338319969308
West Bank,Battery,10.0,11.5
West Bank,Battery,20.0,11.5
West Bank,Battery,30.0,11.5
West Bank,Battery,40.0,11.5
West Bank,Battery,50.0,11.5
West Bank,Battery,60.0,11.5
West Bank,Battery,70.0,11.5
West Bank,Battery,80.0,11.5
West Bank,Battery,90.0,11.5
West Bank,Battery,100.0,395.5456258571128
West Bank,Coal,10.0,0.0
West Bank,Coal,20.0,0.0
West Bank,Coal,30.0,0.0
West Bank,Coal,40.0,0.0
West Bank,Coal,50.0,0.0
West Bank,Coal,60.0,0.0
West Bank,Coal,70.0,0.0
West Bank,Coal,80.0,0.0
West Bank,Coal,90.0,0.0
West Bank,Coal,100.0,0.0
West Bank,Diesel,10.0,0.0
West Bank,Diesel,20.0,0.0
West Bank,Diesel,30.0,0.0
West Bank,Diesel,40.0,0.0
West Bank,Diesel,50.0,0.0
West Bank,Diesel,60.0,0.0
West Bank,Diesel,70.0,0.0
West Bank,Diesel,80.0,0.0
West Bank,Diesel,90.0,0.0
West Bank,Diesel,100.0,0.0
West Bank,Gas,10.0,160.7345354053314
West Bank,Gas,20.0,333.9833037898995
West Bank,Gas,30.0,508.31247647024884
West Bank,Gas,40.0,683.5367981364166
West Bank,Gas,50.0,859.6207011509836
West Bank,Gas,60.0,1035.620156576798
West Bank,Gas,70.0,1218.3372940620077
West Bank,Gas,80.0,1436.275530928702
West Bank,Gas,90.0,1731.8420633672933
West Bank,Gas,100.0,2077.375950067398
West Bank,Solar,10.0,7.5
West Bank,Solar,20.0,7.5
West Bank,Solar,30.0,7.5
West Bank,Solar,40.0,7.5
West Bank,Solar,50.0,7.5
West Bank,Solar,60.0,7.5
West Bank,Solar,70.0,7.5
West Bank,Solar,80.0,7.5
West Bank,Solar,90.0,7.5
West Bank,Solar,100.0,1927.7281293344624
West Bank,Wind,10.0,50.0
West Bank,Wind,20.0,50.0
West Bank,Wind,30.0,50.0
West Bank,Wind,40.0,50.0
West Bank,Wind,50.0,50.0
West Bank,Wind,60.0,50.0
West Bank,Wind,70.0,50.0
West Bank,Wind,80.0,50.0
West Bank,Wind,90.0,50.0
West Bank,Wind,100.0,50.0
