scenario,season,variable,value
NCO,Oct-Dec,sox,0.877
NCO,Jan-Apr,sox,0.875
NCO,Jan-Apr,sox,0.936
NCO,Jan-Apr,sox,0.762
NCO,Jan-Apr,sox,0.732
NCO,May-Sep,sox,0.848
NCO,May-Sep,sox,1.038
NCO,May-Sep,sox,1.02
NCO,May-Sep,sox,1.078
NCO,May-Sep,sox,1.045
NCO,Oct-Dec,sox,0.846
NCO,Oct-Dec,sox,0.822
NCO,Oct-Dec,sox,0.976
NCO,Jan-Apr,sox,0.919
NCO,Jan-Apr,sox,0.931
NCO,Jan-Apr,sox,0.753
NCO,Jan-Apr,sox,0.664
NCO,May-Sep,sox,0.822
NCO,May-Sep,sox,1.021
NCO,May-Sep,sox,0.986
NCO,May-Sep,sox,1.063
NCO,May-Sep,sox,0.92
NCO,Oct-Dec,sox,0.897
NCO,Oct-Dec,sox,0.808
NCO,Oct-Dec,sox,0.931
NCO,Jan-Apr,sox,0.938
NCO,Jan-Apr,sox,0.825
NCO,Jan-Apr,sox,0.741
NCO,Jan-Apr,sox,0.788
NCO,May-Sep,sox,0.741
NCO,May-Sep,sox,0.971
NCO,May-Sep,sox,1.078
NCO,May-Sep,sox,1.085
NCO,May-Sep,sox,0.886
NCO,Oct-Dec,sox,0.874
NCO,Oct-Dec,sox,0.821
NCO,Oct-Dec,sox,0.921
NCO,Jan-Apr,sox,0.949
NCO,Jan-Apr,sox,0.765
NCO,Jan-Apr,sox,0.726
NCO,Jan-Apr,sox,0.739
NCO,May-Sep,sox,0.744
NCO,May-Sep,sox,0.911
NCO,May-Sep,sox,1.081
NCO,May-Sep,sox,1.113
NCO,May-Sep,sox,0.887
NCO,Oct-Dec,sox,0.874
NCO,Oct-Dec,sox,0.777
NCO,Oct-Dec,sox,0.964
NCO,Jan-Apr,sox,1.014
NCO,Jan-Apr,sox,0.795
NCO,Jan-Apr,sox,0.706
NCO,Jan-Apr,sox,0.76
NCO,May-Sep,sox,0.781
NCO,May-Sep,sox,1.011
NCO,May-Sep,sox,1.078
NCO,May-Sep,sox,1.043
NCO,May-Sep,sox,0.854
NCO,Oct-Dec,sox,0.879
NCO,Oct-Dec,sox,0.767
NCO,Oct-Dec,sox,0.964
NCO,Jan-Apr,sox,0.887
NCO,Jan-Apr,sox,0.813
NCO,Jan-Apr,sox,0.785
NCO,Jan-Apr,sox,0.728
NCO,May-Sep,sox,0.752
NCO,May-Sep,sox,0.971
NCO,May-Sep,sox,1.069
NCO,May-Sep,sox,0.994
NCO,May-Sep,sox,0.891
NCO,Oct-Dec,sox,0.899
NCO,Oct-Dec,sox,0.809
NCO,Oct-Dec,sox,1.123
NCO,Jan-Apr,sox,0.866
NCO,Jan-Apr,sox,0.815
NCO,Jan-Apr,sox,0.772
NCO,Jan-Apr,sox,0.728
NCO,May-Sep,sox,0.695
NCO,May-Sep,sox,0.903
NCO,May-Sep,sox,1.031
NCO,May-Sep,sox,1.09
NCO,May-Sep,sox,1.029
NCO,Oct-Dec,sox,0.795
NCO,Oct-Dec,sox,0.813
NCO,Oct-Dec,sox,0.925
NCO,Jan-Apr,sox,0.856
NCO,Jan-Apr,sox,0.854
NCO,Jan-Apr,sox,0.761
NCO,Jan-Apr,sox,0.68
NCO,May-Sep,sox,0.74
NCO,May-Sep,sox,0.89
NCO,May-Sep,sox,0.949
NCO,May-Sep,sox,1.072
NCO,May-Sep,sox,1.027
NCO,Oct-Dec,sox,0.785
NCO,Oct-Dec,sox,0.818
NCO,Oct-Dec,sox,0.94
NCO,Jan-Apr,sox,0.968
NCO,Jan-Apr,sox,0.843
NCO,Jan-Apr,sox,0.771
NCO,Jan-Apr,sox,0.707
NCO,May-Sep,sox,0.75
NCO,May-Sep,sox,0.941
NCO,May-Sep,sox,0.971
NCO,May-Sep,sox,1.041
NCO,May-Sep,sox,0.913
NCO,Oct-Dec,sox,0.865
NCO,Oct-Dec,sox,0.853
NCO,Oct-Dec,sox,0.893
NCO,Jan-Apr,sox,0.928
NCO,Jan-Apr,sox,0.864
NCO,Jan-Apr,sox,0.767
NCO,Jan-Apr,sox,0.915
NCO,May-Sep,sox,0.76
NCO,May-Sep,sox,0.892
NCO,May-Sep,sox,1.093
NCO,May-Sep,sox,1.053
NCO,May-Sep,sox,0.854
NCO,Oct-Dec,sox,0.99
NCO,Oct-Dec,sox,0.868
NCO,Oct-Dec,sox,0.869
NCO,Jan-Apr,sox,0.925
NCO,Jan-Apr,sox,0.823
NCO,Jan-Apr,sox,0.768
NCO,Jan-Apr,sox,0.733
NCO,May-Sep,sox,0.811
NCO,May-Sep,sox,0.961
NCO,May-Sep,sox,1.125
NCO,May-Sep,sox,1.068
NCO,May-Sep,sox,0.938
NCO,Oct-Dec,sox,0.906
NCO,Oct-Dec,sox,0.89
NCO,Oct-Dec,sox,0.89
NCO,Jan-Apr,sox,0.978
NCO,Jan-Apr,sox,0.872
NCO,Jan-Apr,sox,0.702
NCO,Jan-Apr,sox,0.73
NCO,May-Sep,sox,0.921
NCO,May-Sep,sox,1.014
NCO,May-Sep,sox,1.16
NCO,May-Sep,sox,0.973
NCO,May-Sep,sox,0.97
NCO,Oct-Dec,sox,0.898
NCO,Oct-Dec,sox,0.771
NCO,Oct-Dec,sox,0.911
NCO,Jan-Apr,sox,0.991
NCO,Jan-Apr,sox,1.079
NCO,Jan-Apr,sox,0.742
NCO,Jan-Apr,sox,0.706
NCO,May-Sep,sox,0.968
NCO,May-Sep,sox,0.948
NCO,May-Sep,sox,1.118
NCO,May-Sep,sox,0.931
NCO,May-Sep,sox,0.9
NCO,Oct-Dec,sox,0.909
NCO,Oct-Dec,sox,0.796
NCO,Oct-Dec,sox,0.912
NCO,Jan-Apr,sox,0.953
NCO,Jan-Apr,sox,0.895
NCO,Jan-Apr,sox,0.751
NCO,Jan-Apr,sox,0.655
NCO,May-Sep,sox,0.993
NCO,May-Sep,sox,0.965
NCO,May-Sep,sox,1.096
NCO,May-Sep,sox,1.021
NCO,May-Sep,sox,0.875
NCO,Oct-Dec,sox,0.825
NCO,Oct-Dec,sox,0.774
NCO,Oct-Dec,sox,0.908
NCO,Jan-Apr,sox,0.997
NCO,Jan-Apr,sox,0.867
NCO,Jan-Apr,sox,0.782
NCO,Jan-Apr,sox,0.672
NCO,May-Sep,sox,0.94
NCO,May-Sep,sox,0.971
NCO,May-Sep,sox,0.984
NCO,May-Sep,sox,1.015
NCO,May-Sep,sox,0.963
NCO,Oct-Dec,sox,0.77
NCO,Oct-Dec,sox,0.773
NCO,Oct-Dec,sox,0.938
NCO,Jan-Apr,sox,0.972
NCO,Jan-Apr,sox,0.85
NCO,Jan-Apr,sox,0.767
NCO,Jan-Apr,sox,0.661
NCO,May-Sep,sox,1.017
NCO,May-Sep,sox,0.969
NCO,May-Sep,sox,0.929
NCO,May-Sep,sox,1.007
NCO,May-Sep,sox,0.887
NCO,Oct-Dec,sox,0.848
NCO,Oct-Dec,sox,0.825
NCO,Oct-Dec,sox,0.881
NCO,Jan-Apr,sox,0.929
NCO,Jan-Apr,sox,0.823
NCO,Jan-Apr,sox,0.76
NCO,Jan-Apr,sox,0.717
NCO,May-Sep,sox,1.09
NCO,May-Sep,sox,0.936
NCO,May-Sep,sox,1.043
NCO,May-Sep,sox,1.021
NCO,May-Sep,sox,0.881
NCO,Oct-Dec,sox,0.948
NCO,Oct-Dec,sox,0.86
NCO,Oct-Dec,sox,0.887
NCO,Jan-Apr,sox,0.986
NCO,Jan-Apr,sox,0.8
NCO,Jan-Apr,sox,0.754
NCO,Jan-Apr,sox,0.721
NCO,May-Sep,sox,1.068
NCO,May-Sep,sox,0.899
NCO,May-Sep,sox,1.128
NCO,May-Sep,sox,1.055
NCO,May-Sep,sox,0.879
NCO,Oct-Dec,sox,0.963
NCO,Oct-Dec,sox,0.822
NCO,Oct-Dec,sox,0.92
NCO,Jan-Apr,sox,1.036
NCO,Jan-Apr,sox,0.8
NCO,Jan-Apr,sox,0.715
NCO,Jan-Apr,sox,0.751
NCO,May-Sep,sox,0.983
NCO,May-Sep,sox,0.976
NCO,May-Sep,sox,1.159
NCO,May-Sep,sox,1.032
NCO,May-Sep,sox,0.868
NCO,Oct-Dec,sox,0.93
NCO,Oct-Dec,sox,0.839
NCO,Oct-Dec,sox,0.933
NCO,Jan-Apr,sox,1.042
NCO,Jan-Apr,sox,0.824
NCO,Jan-Apr,sox,0.778
NCO,Jan-Apr,sox,0.822
NCO,May-Sep,sox,0.9
NCO,May-Sep,sox,1.001
NCO,May-Sep,sox,1.199
NCO,May-Sep,sox,0.978
NCO,May-Sep,sox,0.922
NCO,Oct-Dec,sox,0.876
NCO,Oct-Dec,sox,0.857
NCO,Oct-Dec,sox,0.931
NCO,Jan-Apr,sox,1.087
NCO,Jan-Apr,sox,0.842
NCO,Jan-Apr,sox,0.723
NCO,Jan-Apr,sox,0.748
NCO,May-Sep,sox,0.88
NCO,May-Sep,sox,1.034
NCO,May-Sep,sox,1.177
NCO,May-Sep,sox,1.04
NCO,May-Sep,sox,0.897
NCO,Oct-Dec,sox,0.805
NCO,Oct-Dec,sox,0.835
NCO,Oct-Dec,sox,0.969
NCO,Jan-Apr,sox,1.114
NCO,Jan-Apr,sox,0.912
NCO,Jan-Apr,sox,0.74
NCO,Jan-Apr,sox,0.689
NCO,May-Sep,sox,0.932
NCO,May-Sep,sox,1.072
NCO,May-Sep,sox,1.009
NCO,May-Sep,sox,1.058
NCO,May-Sep,sox,0.885
NCO,Oct-Dec,sox,0.755
NCO,Oct-Dec,sox,0.855
NCO,Oct-Dec,sox,1.098
NCO,Jan-Apr,sox,1.068
NCO,Jan-Apr,sox,0.856
NCO,Jan-Apr,sox,0.775
NCO,Jan-Apr,sox,0.672
NCO,May-Sep,sox,0.931
NCO,May-Sep,sox,1.062
NCO,May-Sep,sox,0.941
NCO,May-Sep,sox,1.081
NCO,May-Sep,sox,0.88
NCO,Oct-Dec,sox,0.791
NCO,Oct-Dec,sox,0.819
NCO,Oct-Dec,sox,1.005
NCO,Jan-Apr,sox,1.022
NCO,Jan-Apr,sox,0.782
NCO,Jan-Apr,sox,0.739
NCO,May-Sep,sox,0.894
NCO,May-Sep,sox,0.885
NCO,May-Sep,sox,1.038
NCO,May-Sep,sox,1.106
NCO,May-Sep,sox,0.893
NCO,Oct-Dec,sox,0.786
NCO,Oct-Dec,sox,0.82
NCO,Oct-Dec,sox,0.986
NCO,Jan-Apr,sox,0.971
NCO,Jan-Apr,sox,0.713
NCO,Jan-Apr,sox,0.771
NCO,May-Sep,sox,0.859
NCO,May-Sep,sox,0.861
NCO,May-Sep,sox,1.051
NCO,May-Sep,sox,1.117
NCO,May-Sep,sox,1.021
NCO,Oct-Dec,sox,0.755
NCO,Oct-Dec,sox,0.779
NCO,Oct-Dec,sox,1.021
NCO,Jan-Apr,sox,0.965
NCO,Jan-Apr,sox,0.715
NCO,May-Sep,sox,0.857
NCO,May-Sep,sox,1.056
NCO,May-Sep,sox,1.051
NCO,Oct-Dec,sox,0.792
NCO,Oct-Dec,sox,1.01
BAU,Jan-Apr,nox,3.03
BAU,Jan-Apr,nox,2.83
BAU,Jan-Apr,nox,2.367
BAU,Jan-Apr,nox,1.991
BAU,May-Sep,nox,2.609
BAU,May-Sep,nox,2.396
BAU,May-Sep,nox,2.857
BAU,May-Sep,nox,3.116
BAU,May-Sep,nox,3.12
BAU,Oct-Dec,nox,2.882
BAU,Oct-Dec,nox,2.454
BAU,Oct-Dec,nox,2.475
BAU,Jan-Apr,nox,2.92
BAU,Jan-Apr,nox,2.624
BAU,Jan-Apr,nox,2.31
BAU,Jan-Apr,nox,2.134
BAU,May-Sep,nox,2.886
BAU,May-Sep,nox,2.296
BAU,May-Sep,nox,2.937
BAU,May-Sep,nox,3.125
BAU,May-Sep,nox,3.339
BAU,Oct-Dec,nox,3.064
BAU,Oct-Dec,nox,2.373
BAU,Oct-Dec,nox,2.54
BAU,Jan-Apr,nox,2.846
BAU,Jan-Apr,nox,2.411
BAU,Jan-Apr,nox,2.103
BAU,Jan-Apr,nox,2.147
BAU,May-Sep,nox,2.824
BAU,May-Sep,nox,2.532
BAU,May-Sep,nox,3.007
BAU,May-Sep,nox,3.047
BAU,May-Sep,nox,3.304
BAU,Oct-Dec,nox,3.099
BAU,Oct-Dec,nox,2.259
BAU,Oct-Dec,nox,2.594
BAU,Jan-Apr,nox,2.949
BAU,Jan-Apr,nox,2.425
BAU,Jan-Apr,nox,2.269
BAU,Jan-Apr,nox,2.207
BAU,May-Sep,nox,2.765
BAU,May-Sep,nox,2.607
BAU,May-Sep,nox,3.062
BAU,May-Sep,nox,3.013
BAU,May-Sep,nox,3.434
BAU,Oct-Dec,nox,2.976
BAU,Oct-Dec,nox,2.393
BAU,Oct-Dec,nox,2.595
BAU,Jan-Apr,nox,3.116
BAU,Jan-Apr,nox,2.485
BAU,Jan-Apr,nox,2.576
BAU,Jan-Apr,nox,2.06
BAU,May-Sep,nox,2.436
BAU,May-Sep,nox,2.867
BAU,May-Sep,nox,3.2
BAU,May-Sep,nox,3.259
BAU,May-Sep,nox,3.309
BAU,Oct-Dec,nox,2.68
BAU,Oct-Dec,nox,2.4
BAU,Oct-Dec,nox,2.674
BAU,Jan-Apr,nox,2.542
BAU,Jan-Apr,nox,2.762
BAU,Jan-Apr,nox,2.311
BAU,Jan-Apr,nox,2.226
BAU,May-Sep,nox,2.617
BAU,May-Sep,nox,3.061
BAU,May-Sep,nox,3.051
BAU,May-Sep,nox,3.202
BAU,May-Sep,nox,3.109
BAU,Oct-Dec,nox,2.566
BAU,Oct-Dec,nox,2.515
BAU,Oct-Dec,nox,2.91
BAU,Jan-Apr,nox,2.774
BAU,Jan-Apr,nox,2.827
BAU,Jan-Apr,nox,2.266
BAU,Jan-Apr,nox,2.002
BAU,May-Sep,nox,2.411
BAU,May-Sep,nox,3.029
BAU,May-Sep,nox,2.942
BAU,May-Sep,nox,3.182
BAU,May-Sep,nox,2.761
BAU,Oct-Dec,nox,2.723
BAU,Oct-Dec,nox,2.482
BAU,Oct-Dec,nox,2.827
BAU,Jan-Apr,nox,2.762
BAU,Jan-Apr,nox,2.5
BAU,Jan-Apr,nox,2.233
BAU,Jan-Apr,nox,2.35
BAU,May-Sep,nox,2.257
BAU,May-Sep,nox,2.914
BAU,May-Sep,nox,3.212
BAU,May-Sep,nox,3.238
BAU,May-Sep,nox,2.676
BAU,Oct-Dec,nox,2.659
BAU,Oct-Dec,nox,2.493
BAU,Oct-Dec,nox,2.819
BAU,Jan-Apr,nox,2.897
BAU,Jan-Apr,nox,2.352
BAU,Jan-Apr,nox,2.205
BAU,Jan-Apr,nox,2.225
BAU,May-Sep,nox,2.226
BAU,May-Sep,nox,2.751
BAU,May-Sep,nox,3.208
BAU,May-Sep,nox,3.298
BAU,May-Sep,nox,2.677
BAU,Oct-Dec,nox,2.623
BAU,Oct-Dec,nox,2.349
BAU,Oct-Dec,nox,2.913
BAU,Jan-Apr,nox,3.05
BAU,Jan-Apr,nox,2.413
BAU,Jan-Apr,nox,2.159
BAU,Jan-Apr,nox,2.293
BAU,May-Sep,nox,2.406
BAU,May-Sep,nox,3.012
BAU,May-Sep,nox,3.21
BAU,May-Sep,nox,3.128
BAU,May-Sep,nox,2.595
BAU,Oct-Dec,nox,2.694
BAU,Oct-Dec,nox,2.295
BAU,Oct-Dec,nox,2.94
BAU,Jan-Apr,nox,2.689
BAU,Jan-Apr,nox,2.469
BAU,Jan-Apr,nox,2.418
BAU,Jan-Apr,nox,2.22
BAU,May-Sep,nox,2.287
BAU,May-Sep,nox,2.917
BAU,May-Sep,nox,3.19
BAU,May-Sep,nox,2.985
BAU,May-Sep,nox,2.682
BAU,Oct-Dec,nox,2.728
BAU,Oct-Dec,nox,2.429
BAU,Oct-Dec,nox,3.416
BAU,Jan-Apr,nox,2.6
BAU,Jan-Apr,nox,2.504
BAU,Jan-Apr,nox,2.342
BAU,Jan-Apr,nox,2.226
BAU,May-Sep,nox,2.096
BAU,May-Sep,nox,2.703
BAU,May-Sep,nox,3.07
BAU,May-Sep,nox,3.231
BAU,May-Sep,nox,3.09
BAU,Oct-Dec,nox,2.407
BAU,Oct-Dec,nox,2.456
BAU,Oct-Dec,nox,2.752
BAU,Jan-Apr,nox,2.473
BAU,Jan-Apr,nox,2.565
BAU,Jan-Apr,nox,2.232
BAU,Jan-Apr,nox,2.021
BAU,May-Sep,nox,2.229
BAU,May-Sep,nox,2.693
BAU,May-Sep,nox,2.802
BAU,May-Sep,nox,3.184
BAU,May-Sep,nox,3.076
BAU,Oct-Dec,nox,2.378
BAU,Oct-Dec,nox,2.484
BAU,Oct-Dec,nox,2.846
BAU,Jan-Apr,nox,2.901
BAU,Jan-Apr,nox,2.491
BAU,Jan-Apr,nox,2.279
BAU,Jan-Apr,nox,2.092
BAU,May-Sep,nox,2.273
BAU,May-Sep,nox,2.815
BAU,May-Sep,nox,2.932
BAU,May-Sep,nox,3.089
BAU,May-Sep,nox,2.774
BAU,Oct-Dec,nox,2.629
BAU,Oct-Dec,nox,2.625
BAU,Oct-Dec,nox,2.723
BAU,Jan-Apr,nox,2.793
BAU,Jan-Apr,nox,2.565
BAU,Jan-Apr,nox,2.319
BAU,Jan-Apr,nox,2.768
BAU,May-Sep,nox,2.291
BAU,May-Sep,nox,2.696
BAU,May-Sep,nox,3.241
BAU,May-Sep,nox,3.129
BAU,May-Sep,nox,2.58
BAU,Oct-Dec,nox,2.948
BAU,Oct-Dec,nox,2.63
BAU,Oct-Dec,nox,2.651
BAU,Jan-Apr,nox,2.681
BAU,Jan-Apr,nox,2.5
BAU,Jan-Apr,nox,2.244
BAU,Jan-Apr,nox,2.208
BAU,May-Sep,nox,2.46
BAU,May-Sep,nox,2.899
BAU,May-Sep,nox,3.367
BAU,May-Sep,nox,3.166
BAU,May-Sep,nox,2.832
BAU,Oct-Dec,nox,2.753
BAU,Oct-Dec,nox,2.676
BAU,Oct-Dec,nox,2.675
BAU,Jan-Apr,nox,2.877
BAU,Jan-Apr,nox,2.686
BAU,Jan-Apr,nox,2.12
BAU,Jan-Apr,nox,2.177
BAU,May-Sep,nox,2.751
BAU,May-Sep,nox,2.991
BAU,May-Sep,nox,3.411
BAU,May-Sep,nox,2.91
BAU,May-Sep,nox,2.904
BAU,Oct-Dec,nox,2.704
BAU,Oct-Dec,nox,2.278
BAU,Oct-Dec,nox,2.791
BAU,Jan-Apr,nox,3.043
BAU,Jan-Apr,nox,3.231
BAU,Jan-Apr,nox,2.258
BAU,Jan-Apr,nox,2.135
BAU,May-Sep,nox,2.927
BAU,May-Sep,nox,2.834
BAU,May-Sep,nox,3.301
BAU,May-Sep,nox,2.814
BAU,May-Sep,nox,2.721
BAU,Oct-Dec,nox,2.745
BAU,Oct-Dec,nox,2.377
BAU,Oct-Dec,nox,2.811
BAU,Jan-Apr,nox,2.891
BAU,Jan-Apr,nox,2.732
BAU,Jan-Apr,nox,2.287
BAU,Jan-Apr,nox,1.977
BAU,May-Sep,nox,2.978
BAU,May-Sep,nox,2.84
BAU,May-Sep,nox,3.268
BAU,May-Sep,nox,3.051
BAU,May-Sep,nox,2.654
BAU,Oct-Dec,nox,2.486
BAU,Oct-Dec,nox,2.309
BAU,Oct-Dec,nox,2.747
BAU,Jan-Apr,nox,3.017
BAU,Jan-Apr,nox,2.684
BAU,Jan-Apr,nox,2.372
BAU,Jan-Apr,nox,2.019
BAU,May-Sep,nox,2.836
BAU,May-Sep,nox,2.888
BAU,May-Sep,nox,2.949
BAU,May-Sep,nox,3.042
BAU,May-Sep,nox,2.886
BAU,Oct-Dec,nox,2.35
BAU,Oct-Dec,nox,2.309
BAU,Oct-Dec,nox,2.823
BAU,Jan-Apr,nox,2.969
BAU,Jan-Apr,nox,2.582
BAU,Jan-Apr,nox,2.345
BAU,Jan-Apr,nox,1.964
BAU,May-Sep,nox,3.011
BAU,May-Sep,nox,2.886
BAU,May-Sep,nox,2.787
BAU,May-Sep,nox,3.008
BAU,May-Sep,nox,2.689
BAU,Oct-Dec,nox,2.598
BAU,Oct-Dec,nox,2.472
BAU,Oct-Dec,nox,2.674
BAU,Jan-Apr,nox,2.797
BAU,Jan-Apr,nox,2.56
BAU,Jan-Apr,nox,2.303
BAU,Jan-Apr,nox,2.124
BAU,May-Sep,nox,3.237
BAU,May-Sep,nox,2.818
BAU,May-Sep,nox,3.1
BAU,May-Sep,nox,3.045
BAU,May-Sep,nox,2.663
BAU,Oct-Dec,nox,2.85
BAU,Oct-Dec,nox,2.611
BAU,Oct-Dec,nox,2.727
BAU,Jan-Apr,nox,3.006
BAU,Jan-Apr,nox,2.451
BAU,Jan-Apr,nox,2.338
BAU,Jan-Apr,nox,2.23
BAU,May-Sep,nox,3.168
BAU,May-Sep,nox,2.716
BAU,May-Sep,nox,3.359
BAU,May-Sep,nox,3.143
BAU,May-Sep,nox,2.659
BAU,Oct-Dec,nox,2.934
BAU,Oct-Dec,nox,2.528
BAU,Oct-Dec,nox,2.792
BAU,Jan-Apr,nox,3.076
BAU,Jan-Apr,nox,2.445
BAU,Jan-Apr,nox,2.143
BAU,Jan-Apr,nox,2.213
BAU,May-Sep,nox,2.912
BAU,May-Sep,nox,2.911
BAU,May-Sep,nox,3.427
BAU,May-Sep,nox,3.082
BAU,May-Sep,nox,2.624
BAU,Oct-Dec,nox,2.831
BAU,Oct-Dec,nox,2.587
BAU,Oct-Dec,nox,2.755
BAU,Jan-Apr,nox,3.188
BAU,Jan-Apr,nox,2.464
BAU,Jan-Apr,nox,2.301
BAU,Jan-Apr,nox,2.468
BAU,May-Sep,nox,2.688
BAU,May-Sep,nox,2.978
BAU,May-Sep,nox,3.592
BAU,May-Sep,nox,2.956
BAU,May-Sep,nox,2.777
BAU,Oct-Dec,nox,2.659
BAU,Oct-Dec,nox,2.599
BAU,Oct-Dec,nox,2.711
BAU,Jan-Apr,nox,3.243
BAU,Jan-Apr,nox,2.496
BAU,Jan-Apr,nox,2.179
BAU,Jan-Apr,nox,2.249
BAU,May-Sep,nox,2.661
BAU,May-Sep,nox,3.08
BAU,May-Sep,nox,3.478
BAU,May-Sep,nox,3.115
BAU,May-Sep,nox,2.718
BAU,Oct-Dec,nox,2.471
BAU,Oct-Dec,nox,2.482
BAU,Oct-Dec,nox,2.79
BAU,Jan-Apr,nox,3.327
BAU,Jan-Apr,nox,2.698
BAU,Jan-Apr,nox,2.194
BAU,Jan-Apr,nox,2.089
BAU,May-Sep,nox,2.811
BAU,May-Sep,nox,3.179
BAU,May-Sep,nox,3.002
BAU,May-Sep,nox,3.165
BAU,May-Sep,nox,2.663
BAU,Oct-Dec,nox,2.325
BAU,Oct-Dec,nox,2.546
BAU,Oct-Dec,nox,3.228
BAU,Jan-Apr,nox,3.183
BAU,Jan-Apr,nox,2.443
BAU,Jan-Apr,nox,2.413
BAU,Jan-Apr,nox,2.059
BAU,May-Sep,nox,2.805
BAU,May-Sep,nox,3.138
BAU,May-Sep,nox,2.842
BAU,May-Sep,nox,3.223
BAU,May-Sep,nox,2.647
BAU,Oct-Dec,nox,2.422
BAU,Oct-Dec,nox,2.533
BAU,Oct-Dec,nox,3.081
BAU,Jan-Apr,nox,3.098
BAU,Jan-Apr,nox,2.324
BAU,Jan-Apr,nox,2.252
BAU,May-Sep,nox,2.655
BAU,May-Sep,nox,2.69
BAU,May-Sep,nox,3.124
BAU,May-Sep,nox,3.294
BAU,May-Sep,nox,2.736
BAU,Oct-Dec,nox,2.386
BAU,Oct-Dec,nox,2.5
BAU,Oct-Dec,nox,2.993
BAU,Jan-Apr,nox,2.916
BAU,Jan-Apr,nox,2.094
BAU,Jan-Apr,nox,2.351
BAU,May-Sep,nox,2.56
BAU,May-Sep,nox,2.602
BAU,May-Sep,nox,3.132
BAU,May-Sep,nox,3.319
BAU,May-Sep,nox,3.097
BAU,Oct-Dec,nox,2.305
BAU,Oct-Dec,nox,2.366
BAU,Oct-Dec,nox,3.087
BAU,Jan-Apr,nox,2.958
BAU,Jan-Apr,nox,2.151
BAU,May-Sep,nox,2.57
BAU,May-Sep,nox,3.15
BAU,May-Sep,nox,3.166
BAU,Oct-Dec,nox,2.439
BAU,Oct-Dec,nox,3.101
COO,Jan-Apr,nox,3.167
COO,Jan-Apr,nox,2.832
COO,Jan-Apr,nox,2.151
COO,Jan-Apr,nox,1.852
COO,May-Sep,nox,2.726
COO,May-Sep,nox,2.423
COO,May-Sep,nox,2.997
COO,May-Sep,nox,3.255
COO,May-Sep,nox,3.24
COO,Oct-Dec,nox,2.856
COO,Oct-Dec,nox,2.398
COO,Oct-Dec,nox,2.24
COO,Jan-Apr,nox,2.915
COO,Jan-Apr,nox,2.595
COO,Jan-Apr,nox,2.285
COO,Jan-Apr,nox,2.053
COO,May-Sep,nox,2.875
COO,May-Sep,nox,2.215
COO,May-Sep,nox,3.048
COO,May-Sep,nox,3.212
COO,May-Sep,nox,3.527
COO,Oct-Dec,nox,3.164
COO,Oct-Dec,nox,2.279
COO,Oct-Dec,nox,2.427
COO,Jan-Apr,nox,2.729
COO,Jan-Apr,nox,2.24
COO,Jan-Apr,nox,2.003
COO,Jan-Apr,nox,2.115
COO,May-Sep,nox,2.895
COO,May-Sep,nox,2.617
COO,May-Sep,nox,3.128
COO,May-Sep,nox,3.151
COO,May-Sep,nox,3.504
COO,Oct-Dec,nox,3.266
COO,Oct-Dec,nox,2.155
COO,Oct-Dec,nox,2.615
COO,Jan-Apr,nox,2.892
COO,Jan-Apr,nox,2.214
COO,Jan-Apr,nox,2.192
COO,Jan-Apr,nox,2.179
COO,May-Sep,nox,2.88
COO,May-Sep,nox,2.806
COO,May-Sep,nox,3.251
COO,May-Sep,nox,3.089
COO,May-Sep,nox,3.618
COO,Oct-Dec,nox,3.18
COO,Oct-Dec,nox,2.313
COO,Oct-Dec,nox,2.563
COO,Jan-Apr,nox,3.05
COO,Jan-Apr,nox,2.26
COO,Jan-Apr,nox,2.366
COO,Jan-Apr,nox,1.958
COO,May-Sep,nox,2.418
COO,May-Sep,nox,2.969
COO,May-Sep,nox,3.407
COO,May-Sep,nox,3.41
COO,May-Sep,nox,3.501
COO,Oct-Dec,nox,2.66
COO,Oct-Dec,nox,2.221
COO,Oct-Dec,nox,2.528
COO,Jan-Apr,nox,2.264
COO,Jan-Apr,nox,2.87
COO,Jan-Apr,nox,2.281
COO,Jan-Apr,nox,2.149
COO,May-Sep,nox,2.606
COO,May-Sep,nox,3.146
COO,May-Sep,nox,3.136
COO,May-Sep,nox,3.358
COO,May-Sep,nox,3.258
COO,Oct-Dec,nox,2.599
COO,Oct-Dec,nox,2.388
COO,Oct-Dec,nox,2.671
COO,Jan-Apr,nox,2.648
COO,Jan-Apr,nox,3.09
COO,Jan-Apr,nox,2.101
COO,Jan-Apr,nox,1.891
COO,May-Sep,nox,2.588
COO,May-Sep,nox,3.265
COO,May-Sep,nox,2.996
COO,May-Sep,nox,3.352
COO,May-Sep,nox,2.731
COO,Oct-Dec,nox,2.915
COO,Oct-Dec,nox,2.425
COO,Oct-Dec,nox,2.816
COO,Jan-Apr,nox,2.5
COO,Jan-Apr,nox,2.383
COO,Jan-Apr,nox,2.115
COO,Jan-Apr,nox,2.522
COO,May-Sep,nox,2.202
COO,May-Sep,nox,3.009
COO,May-Sep,nox,3.346
COO,May-Sep,nox,3.4
COO,May-Sep,nox,2.704
COO,Oct-Dec,nox,2.686
COO,Oct-Dec,nox,2.466
COO,Oct-Dec,nox,2.743
COO,Jan-Apr,nox,2.767
COO,Jan-Apr,nox,2.238
COO,Jan-Apr,nox,2.153
COO,Jan-Apr,nox,2.158
COO,May-Sep,nox,2.154
COO,May-Sep,nox,2.838
COO,May-Sep,nox,3.318
COO,May-Sep,nox,3.414
COO,May-Sep,nox,2.789
