scenario,season,variable,value
BAU,May-Sep,sox,1.041
BAU,May-Sep,sox,0.858
BAU,Oct-Dec,sox,0.98
BAU,Oct-Dec,sox,0.874
BAU,Oct-Dec,sox,0.881
BAU,Jan-Apr,sox,0.892
BAU,Jan-Apr,sox,0.831
BAU,Jan-Apr,sox,0.746
BAU,Jan-Apr,sox,0.734
BAU,May-Sep,sox,0.817
BAU,May-Sep,sox,0.964
BAU,May-Sep,sox,1.12
BAU,May-Sep,sox,1.053
BAU,May-Sep,sox,0.942
BAU,Oct-Dec,sox,0.915
BAU,Oct-Dec,sox,0.889
BAU,Oct-Dec,sox,0.889
BAU,Jan-Apr,sox,0.957
BAU,Jan-Apr,sox,0.893
BAU,Jan-Apr,sox,0.705
BAU,Jan-Apr,sox,0.724
BAU,May-Sep,sox,0.915
BAU,May-Sep,sox,0.995
BAU,May-Sep,sox,1.134
BAU,May-Sep,sox,0.968
BAU,May-Sep,sox,0.965
BAU,Oct-Dec,sox,0.899
BAU,Oct-Dec,sox,0.757
BAU,Oct-Dec,sox,0.928
BAU,Jan-Apr,sox,1.012
BAU,Jan-Apr,sox,1.074
BAU,Jan-Apr,sox,0.751
BAU,Jan-Apr,sox,0.71
BAU,May-Sep,sox,0.973
BAU,May-Sep,sox,0.942
BAU,May-Sep,sox,1.098
BAU,May-Sep,sox,0.936
BAU,May-Sep,sox,0.905
BAU,Oct-Dec,sox,0.912
BAU,Oct-Dec,sox,0.79
BAU,Oct-Dec,sox,0.935
BAU,Jan-Apr,sox,0.961
BAU,Jan-Apr,sox,0.908
BAU,Jan-Apr,sox,0.76
BAU,Jan-Apr,sox,0.657
BAU,May-Sep,sox,0.99
BAU,May-Sep,sox,0.945
BAU,May-Sep,sox,1.087
BAU,May-Sep,sox,1.014
BAU,May-Sep,sox,0.882
BAU,Oct-Dec,sox,0.826
BAU,Oct-Dec,sox,0.768
BAU,Oct-Dec,sox,0.913
BAU,Jan-Apr,sox,1.003
BAU,Jan-Apr,sox,0.892
BAU,Jan-Apr,sox,0.788
BAU,Jan-Apr,sox,0.671
BAU,May-Sep,sox,0.943
BAU,May-Sep,sox,0.96
BAU,May-Sep,sox,0.981
BAU,May-Sep,sox,1.012
BAU,May-Sep,sox,0.959
BAU,Oct-Dec,sox,0.781
BAU,Oct-Dec,sox,0.768
BAU,Oct-Dec,sox,0.939
BAU,Jan-Apr,sox,0.987
BAU,Jan-Apr,sox,0.858
BAU,Jan-Apr,sox,0.779
BAU,Jan-Apr,sox,0.653
BAU,May-Sep,sox,1.001
BAU,May-Sep,sox,0.959
BAU,May-Sep,sox,0.926
BAU,May-Sep,sox,1.0
BAU,May-Sep,sox,0.894
BAU,Oct-Dec,sox,0.864
BAU,Oct-Dec,sox,0.822
BAU,Oct-Dec,sox,0.889
BAU,Jan-Apr,sox,0.93
BAU,Jan-Apr,sox,0.851
BAU,Jan-Apr,sox,0.766
BAU,Jan-Apr,sox,0.706
BAU,May-Sep,sox,1.076
BAU,May-Sep,sox,0.937
BAU,May-Sep,sox,1.031
BAU,May-Sep,sox,1.013
BAU,May-Sep,sox,0.885
BAU,Oct-Dec,sox,0.948
BAU,Oct-Dec,sox,0.868
BAU,Oct-Dec,sox,0.906
BAU,Jan-Apr,sox,0.999
BAU,Jan-Apr,sox,0.815
BAU,Jan-Apr,sox,0.777
BAU,Jan-Apr,sox,0.741
BAU,May-Sep,sox,1.053
BAU,May-Sep,sox,0.903
BAU,May-Sep,sox,1.117
BAU,May-Sep,sox,1.045
BAU,May-Sep,sox,0.884
BAU,Oct-Dec,sox,0.976
BAU,Oct-Dec,sox,0.84
BAU,Oct-Dec,sox,0.928
BAU,Jan-Apr,sox,1.023
